thermal_label,x_NH3,delta_IW,first_quench_year,HCN_final_mol,H2_final_mol,H2_pressure_bar
oat_c_eff_02,0.05,-3,63163.16316316317,1.666015100286552e+17,5.035710656085245e+23,195.4387529254883
oat_c_eff_02,0.05,-2,63163.16316316317,1.6714643993849274e+17,5.0357106451866505e+23,195.43875250250778
oat_c_eff_02,0.05,-1,63163.16316316317,1.691382047347463e+17,5.035710605351346e+23,195.4387509564773
oat_c_eff_02,0.05,0,63163.16316316317,1.736292688301861e+17,5.035710515530072e+23,195.43874747046326
oat_c_eff_03,0.005,-3,75775.77577577578,8.793354694052326e+16,5.044721381261017e+22,19.578846421979776
oat_c_eff_03,0.005,-2,75775.77577577578,9.189701730502978e+16,5.044720588566942e+22,19.57884334548964
oat_c_eff_03,0.005,-1,75775.77577577578,1.0620641774398154e+17,5.044717726686858e+22,19.578832238372637
oat_c_eff_03,0.005,0,75775.77577577578,1.3713177580029454e+17,5.044711541615248e+22,19.578808233763066
oat_c_eff_03,0.01,-3,75775.77577577578,1.2140886625842846e+17,1.0079425898773172e+23,39.11881683433543
oat_c_eff_03,0.01,-2,75775.77577577578,1.2393419422933725e+17,1.0079425393707572e+23,39.11881487414754
oat_c_eff_03,0.01,-1,75775.77577577578,1.3305241092422547e+17,1.0079423570064233e+23,39.11880779648553
oat_c_eff_03,0.01,0,75775.77577577578,1.5277842379740083e+17,1.0079419624861657e+23,39.11879248493321
oat_c_eff_03,0.025,-3,75775.77577577578,1.5347375298333555e+17,2.5183553123523848e+23,97.73878113403207
oat_c_eff_03,0.025,-2,75775.77577577578,1.5458209480556768e+17,2.51835529018555e+23,97.73878027372477
oat_c_eff_03,0.025,-1,75775.77577577578,1.586079822070625e+17,2.5183552096678004e+23,97.7387771487858
oat_c_eff_03,0.025,0,75775.77577577578,1.67500404376793e+17,2.518355031819355e+23,97.73877024638794
oat_c_eff_03,0.05,-3,75775.77577577578,1.6660151002865523e+17,5.0357106560852454e+23,195.43875292548836
oat_c_eff_03,0.05,-2,75775.77577577578,1.6714643993849267e+17,5.0357106451866505e+23,195.43875250250778
oat_c_eff_03,0.05,-1,75775.77577577578,1.691382047347463e+17,5.035710605351346e+23,195.4387509564773
oat_c_eff_03,0.05,0,75775.77577577578,1.7362926883018614e+17,5.035710515530074e+23,195.43874747046337
