thermal_label,successful_cases,failed_cases,first_quench_year,HCN_positive_cases,HCN_final_mol_min,HCN_final_mol_max
oat_c_eff_00,16,0,50550.55055055056,16,8.793354694052326e+16,1.7362926883017898e+17
oat_c_eff_01,16,0,55555.55555555556,16,8.793354694052325e+16,1.7362926883018483e+17
oat_c_eff_02,16,0,63163.16316316317,16,8.793354694052325e+16,1.736292688301861e+17
oat_c_eff_03,16,0,75775.77577577578,16,8.793354694052326e+16,1.7362926883018614e+17
oat_c_eff_04,0,16,,0,,
