run_name,seed,duration_yr,test_particles_initial,collisions_with_earth,grazing_60_75,relative_energy_error
seed_410201,410201,500.0,256,0,0,-1.962985318124549e-15
seed_410202,410202,500.0,256,0,0,-3.9259706362490983e-16
seed_410203,410203,500.0,256,0,0,-3.9259706362490983e-16
seed_410204,410204,500.0,256,0,0,-1.1777911908747295e-15
