object_id,a_initial_AU,e_initial,i_initial_deg,a_scattered_AU,e_scattered,i_scattered_deg,perihelion_AU,aphelion_AU,v_infinity_km_s,v_esc_mut_km_s,impact_velocity_km_s,focusing_factor,collision_radius_m,encounter_miss_distance_m,contact_angle_deg,inferred_impact_age_Ga,importance_weight,impactor_mass_kg,impactor_radius_m,mutual_escape_km_s,v_over_vesc,b_contact,x_H2O,eta_escape,eta_vapor_plume,eta_mantle_dissolution,eta_surface_retained,eta_reaccretion,water_escape_kg,water_vapor_plume_kg,water_mantle_kg,water_surface_kg,water_reaccretion_kg
375,19.64806473364826,0.05857470509364407,7.440779212131065,3.307769247355485,0.7330288016362031,0.3839092319254247,0.8830791198774084,5.732459374833562,67.45714752467714,9.55,68.1297970947078,1.020042449482042,6434528.485385445,6114677.4906944195,71.85868542253588,4.183717458148195,0.22780117011462153,1.345e+23,2575000.0,9.545520033832508,7.137358347500509,0.9502914634044292,0.5,0.493128179323158,0.38666053906833797,0.03486182009033478,0.01811361742320197,0.0672358440949673,3.3162870059482374e+22,2.600292125234573e+22,2.344457401075014e+21,1.2181407717103323e+21,4.5216105153865507e+21
9874,25.702923328330847,0.005677330074451465,7.287143059665688,5.481003422137313,0.999999,14.057402316621332,5.481003422294923e-06,10.962001363271202,28.803747296399038,9.55,30.345648095152207,1.1099281094516096,6712047.638273251,6124317.288172296,65.84426034973993,4.003851174632395,7.133660801327343e-35,1.345e+23,2575000.0,9.545520033832508,3.1790460852417786,0.9124365049572033,0.5,0.47384800116354236,0.3825974559823521,0.04543115872861792,0.020400406272544573,0.07772297785294302,3.1866278078248223e+22,2.572967891481318e+22,3.0552454244995553e+21,1.3719273218286226e+21,5.226870260610418e+21
10168,17.88459644314373,0.09085086164552392,3.3022312260377635,2.5059420085686672,0.9583722635169285,4.095011283663672,0.10431669357455538,4.9075673235627795,9.50231634944258,9.55,13.47206428150058,2.010061397591033,9032589.358327894,8690544.009912007,74.1819318628178,4.079335412164955,1.3170039791831962e-27,1.345e+23,2575000.0,9.545520033832508,1.411349432377816,0.9621320825239855,0.5,0.3346957697623144,0.38944573324054665,0.058092202395058856,0.05604456093120057,0.1617217336708795,2.2508290516515643e+22,2.619022556042676e+22,3.906700611067708e+21,3.7689967226232384e+21,1.0875786589366647e+22
12551,22.054117348234797,0.03331305420180106,0.007537541979337521,3.7079589170491385,0.9583117038928809,15.026959754517934,0.15457848928697718,7.2613393448113,25.457626482787546,9.55,27.189947519940635,1.140724891604459,6804528.9205049975,6372615.466548308,69.47602910915737,4.070487887897123,6.724827569358771e-25,1.345e+23,2575000.0,9.545520033832508,2.84845115023282,0.9365255906760647,0.5,0.45281647114520185,0.3860071147534986,0.04498730792065342,0.024662633086558736,0.09152647309408746,3.0451907684514826e+22,2.595897846717278e+22,3.0253964576639424e+21,1.658562075071075e+21,6.155155315577381e+21
13465,17.527247515557935,0.23972915403421424,3.913298532239316,5.418982222717683,0.8494252169450054,9.700644106524038,0.8159620725645876,10.022002372870778,15.040024714051267,9.55,17.815859322504565,1.403189899049884,7546851.943510024,7275128.890712081,74.5783904426654,4.012047152143888,0.061098652318511915,1.345e+23,2575000.0,9.545520033832508,1.866410552736699,0.9639951790717701,0.5,0.37805200304016723,0.39040052203462194,0.05008763130016276,0.04453593892760293,0.1369239046974452,2.5423997204451245e+22,2.6254435106828327e+22,3.3683932049359456e+21,2.995041892881297e+21,9.20813259090319e+21
13512,31.41161595277894,0.08416897893653148,11.239564193939097,1.845914640083895,0.44483138137794426,14.76169338055309,1.024793880829605,2.667035399338185,14.438111379231422,9.55,17.31073540318527,1.4375079687728407,7638581.830885155,7023514.936336159,66.85002140989559,4.001476705028102,0.7210596894787683,1.345e+23,2575000.0,9.545520033832508,1.8134931718576093,0.9194789153057064,0.5,0.3709475227593218,0.3804279549113721,0.06373035251093478,0.0471254491341942,0.13776872068417712,2.494622090556439e+22,2.5583779967789773e+22,4.2858662063603644e+21,3.1691864542745597e+21,9.264946466010911e+21
14921,20.19755786968069,0.22363515903493839,11.434930329099465,13.725273603044071,0.999999,9.40941795345829,1.372527360343875e-05,27.45053348081454,67.84329544184261,9.55,68.51215393205166,1.019814945060237,6433810.88519314,5743206.003061923,63.20943571488277,4.123264852556842,1.2953775928563986e-34,1.345e+23,2575000.0,9.545520033832508,7.177414503266634,0.8926600587964771,0.5,0.48859914024775164,0.3824622771671764,0.04102110569454754,0.01950730539712443,0.06841017149340001,3.28582921816613e+22,2.5720588139492614e+22,2.758669357958322e+21,1.3118662879566179e+21,4.6005840329311503e+21
1501,37.31638951229711,0.10012704991239835,2.2357335277348787,2.022754808906985,0.999999,11.882569244371982,2.0227548089651507e-06,4.045507595059161,21.140386613544482,9.55,23.197380157468878,1.2040708119313364,6990908.52428148,6541810.361448998,69.35122599122805,4.085658546205345,2.7394189612437957e-34,1.345e+23,2575000.0,9.545520033832508,2.4301850580428956,0.9357596854153315,0.5,0.4226846074713582,0.3863448847069194,0.049768546282484095,0.031180415994675456,0.11002154554456278,2.842553985244884e+22,2.598169349654033e+22,3.3469347374970553e+21,2.0968829756419245e+21,7.398948937871847e+21
7380,15.07520269202013,0.164400818755669,3.6102502925376516,2.468849845347036,0.631017000360715,17.826976864384434,0.9109636215951343,4.026736069098938,17.803824564672297,9.55,20.203432112629496,1.287726677530456,7229686.26892509,6829813.251950659,70.85473869977744,4.037166502129383,1.0,1.345e+23,2575000.0,9.545520033832508,2.116535509958786,0.9446901287137203,0.5,0.39810070684650584,0.3869235744913092,0.05180092935756897,0.03891380598509238,0.12426098331952362,2.677227253542752e+22,2.6020610384540543e+22,3.4836124992965134e+21,2.6169534524974626e+21,8.356551128237963e+21
10271,18.650376380371394,0.16423317079887573,5.900528866626603,3.727244492060395,0.999999,0.7721134029596399,3.727244492167574e-06,7.454485256876297,41.098494613927855,9.55,42.193468209321885,1.053995170161008,6540740.445283639,5894547.203067958,64.31689798323848,4.147205070459229,2.0480190657109525e-34,1.345e+23,2575000.0,9.545520033832508,4.420237772250664,0.9012048792302049,0.5,0.4892515771565107,0.383071243960143,0.040113820182968045,0.019333933151903383,0.06822942554847489,3.2902168563775344e+22,2.576154115631962e+22,2.697654407304601e+21,1.3002070044655026e+21,4.588428868134936e+21
