run_id,evidence_class,impactor_mass_kg,impactor_radius_m,water_mass_fraction,impact_angle_deg,contact_impact_parameter,mutual_escape_speed_m_s,impact_speed_m_s,particle_count,initial_conditions
sph_0031,hpc_resolution_study,1.00875e+23,2339542.7632713798,0.5,75.0,0.9659258262890683,9647.00318817337,11576.403825808044,1000000,initial_conditions/sph_0031.hdf5
sph_0032,pipeline_validation,1.345e+23,2575000.0,0.3,60.0,0.8660254037844386,9545.520033832508,9545.520033832508,100000,initial_conditions/sph_0032.hdf5
sph_0033,hpc_resolution_study,1.345e+23,2575000.0,0.3,60.0,0.8660254037844386,9545.520033832508,9545.520033832508,1000000,initial_conditions/sph_0033.hdf5
sph_0034,pipeline_validation,1.345e+23,2575000.0,0.5,60.0,0.8660254037844386,9545.520033832508,9545.520033832508,100000,initial_conditions/sph_0034.hdf5
sph_0035,hpc_resolution_study,1.345e+23,2575000.0,0.5,60.0,0.8660254037844386,9545.520033832508,9545.520033832508,1000000,initial_conditions/sph_0035.hdf5
sph_0036,pipeline_validation,1.345e+23,2575000.0,0.3,65.0,0.9063077870366499,9545.520033832508,9545.520033832508,100000,initial_conditions/sph_0036.hdf5
sph_0037,hpc_resolution_study,1.345e+23,2575000.0,0.3,65.0,0.9063077870366499,9545.520033832508,9545.520033832508,1000000,initial_conditions/sph_0037.hdf5
sph_0038,pipeline_validation,1.345e+23,2575000.0,0.5,65.0,0.9063077870366499,9545.520033832508,9545.520033832508,100000,initial_conditions/sph_0038.hdf5
sph_0039,hpc_resolution_study,1.345e+23,2575000.0,0.5,65.0,0.9063077870366499,9545.520033832508,9545.520033832508,1000000,initial_conditions/sph_0039.hdf5
sph_0040,pipeline_validation,1.345e+23,2575000.0,0.3,70.0,0.9396926207859083,9545.520033832508,9545.520033832508,100000,initial_conditions/sph_0040.hdf5
sph_0041,hpc_resolution_study,1.345e+23,2575000.0,0.3,70.0,0.9396926207859083,9545.520033832508,9545.520033832508,1000000,initial_conditions/sph_0041.hdf5
sph_0042,pipeline_validation,1.345e+23,2575000.0,0.5,70.0,0.9396926207859083,9545.520033832508,9545.520033832508,100000,initial_conditions/sph_0042.hdf5
sph_0043,hpc_resolution_study,1.345e+23,2575000.0,0.5,70.0,0.9396926207859083,9545.520033832508,9545.520033832508,1000000,initial_conditions/sph_0043.hdf5
