particle,time_yr,distance_au,relative_speed_km_s,collided
tp_000000,157.0000000000065,35.67716966460883,25.876753176260486,False
tp_000001,177.00000000001674,17.687182603432955,23.672318861415913,False
tp_000002,152.00000000000395,34.20192264431004,25.573720014058136,False
tp_000003,46.00000000000159,32.74501370521335,26.76235357187097,False
tp_000004,197.00000000002697,35.10036058190973,29.394306188898003,False
tp_000005,92.01999999999883,27.311155995884853,24.529990051026477,False
tp_000006,8.019999999999918,37.921671250521335,26.779702352584863,False
tp_000007,30.01999999999945,27.93425963731581,26.240129098719283,False
tp_000008,179.00000000001776,29.46230922373227,27.974681478608506,False
tp_000009,97.01999999999784,37.63385332688091,28.273875857824446,False
tp_000010,62.50000000000417,28.68945939648038,23.6246472719637,False
tp_000011,107.51999999999575,22.745861903342565,23.029260030975898,False
tp_000012,119.51999999999336,29.97250522865215,24.062962881178365,False
tp_000013,53.500000000002764,15.988811101519625,22.24225859811644,False
tp_000014,172.50000000001444,22.356168304628113,23.65911473461627,False
tp_000015,200.0000000000285,40.13179175691373,25.836630159692017,False
tp_000016,1.0000000000000004,31.900945816134996,26.06516242530413,False
tp_000017,111.51999999999495,12.790144813220815,21.263217196358656,False
tp_000018,60.00000000000378,33.893345516332566,27.503343058253595,False
tp_000019,87.01999999999983,30.729349604548794,25.49585692287932,False
tp_000020,135.01999999999526,23.092558832594694,24.566316964273298,False
tp_000021,79.50000000000132,18.95912496397122,22.6594194108322,False
tp_000022,87.01999999999983,35.04336971744311,27.898342164778736,False
tp_000023,106.51999999999595,21.368633686893926,23.775483826018988,False
tp_000024,188.50000000002262,26.478505853867834,23.604115802272727,False
tp_000025,122.51999999999276,19.829069731652808,24.449936760489926,False
tp_000026,5.019999999999981,32.66189876590259,27.253006712342703,False
tp_000027,143.5199999999996,26.626523900039466,23.683786501250285,False
tp_000028,35.51999999999995,22.021974827872363,22.99579890742538,False
tp_000029,61.500000000004015,30.255205865657945,24.02805797336532,False
