object_id,a_initial_AU,e_initial,i_initial_deg,a_scattered_AU,e_scattered,i_scattered_deg,perihelion_AU,aphelion_AU,v_infinity_km_s,v_esc_mut_km_s,impact_velocity_km_s,focusing_factor,collision_radius_m,encounter_miss_distance_m,contact_angle_deg,inferred_impact_age_Ga,importance_weight,impactor_mass_kg,impactor_radius_m,mutual_escape_km_s,v_over_vesc,b_contact,x_H2O,eta_escape,eta_vapor_plume,eta_mantle_dissolution,eta_surface_retained,eta_reaccretion,water_escape_kg,water_vapor_plume_kg,water_mantle_kg,water_surface_kg,water_reaccretion_kg
11317,20.80199548135937,0.018710541016675197,11.19972295677723,2.6587343359815727,0.999999,0.9273161200861963,2.6587343360580265e-06,5.317466013228809,58.05391139085822,9.55,58.8341663302678,1.0270609956667127,6456627.37806778,5797879.343875164,63.89293931340526,4.128116352924269,1.2213534643772659e-34,1.345e+23,2575000.0,9.545520033832508,6.163537043737783,0.8979733542576288,0.5,0.4890042425838008,0.3828405388491172,0.0404571910928589,0.019400498324545795,0.06829752914967724,3.2885535313760606e+22,2.574602623760313e+22,2.720746100994761e+21,1.3046835123257048e+21,4.593008835315794e+21
17624,22.781579029784293,0.16704667937421763,0.01740537515909808,4.7100279835333865,0.9567513599446711,0.6595788228650119,0.2037023049103621,9.216353662156411,10.161925956350979,9.55,13.945151097867665,1.883191113999418,8742885.750804849,8008938.17074612,66.35557265186938,4.108965420019968,6.153292330688511e-22,1.345e+23,2575000.0,9.545520033832508,1.4609105683547252,0.9160520220693535,0.5,0.3371944120667118,0.37691224669858076,0.07426696605234709,0.056061537407336146,0.15556483777502428,2.267632421148637e+22,2.5347348590479557e+22,4.994453467020342e+21,3.770138390643356e+21,1.0461735340370383e+22
18202,26.113990326390617,0.021109974484524074,3.7707801518698822,3.0805652314994187,0.9986930998556807,19.07486581898009,0.004025991145631713,6.157104471853206,59.827179403185255,9.55,60.58460114039635,1.0254806021434064,6451657.887199592,6192707.1220629085,73.71176663082935,4.06367596777245,2.1912634878131316e-34,1.345e+23,2575000.0,9.545520033832508,6.346914670511853,0.959862911260305,0.5,0.4939231913168905,0.3873892363023905,0.033830320113301844,0.017804695911982117,0.06705255635543506,3.3216334616060886e+22,2.605192614133576e+22,2.275089027619549e+21,1.1973658000807973e+21,4.5092844149030073e+21
368,30.19678191270604,0.056221038292612296,6.08187821958044,6.921296695702541,0.999999,1.7327488931500952,6.921296695901567e-06,13.842586470108385,14.21733821000506,9.55,17.127031435063987,1.4512011039931143,7674876.665450995,6907990.194843104,64.16836566777933,3.9964411211599233,8.297378323238149e-35,1.345e+23,2575000.0,9.545520033832508,1.7942481262791414,0.9000783329769865,0.5,0.36828801688401486,0.3760420620432561,0.06972362138709816,0.04803063220911989,0.13791566747651107,2.476736913545e+22,2.528882867240897e+22,4.688913538282351e+21,3.2300600160633126e+21,9.27482863779537e+21
2161,41.79782441407406,0.08170766309812098,5.864987296424177,2.9737915858500896,0.7137424881746609,1.4326088622006852,0.8512701800525759,5.096312991647603,68.00103623149991,9.55,68.66835827772326,1.019723122934414,6433521.2348531755,6093435.563025213,71.28717458230852,4.115447077429404,0.1993997219985743,1.345e+23,2575000.0,9.545520033832508,7.193778655781945,0.9471384861550513,0.5,0.49287013884491515,0.3864233862600993,0.035201127857526104,0.0182082501156225,0.06729709692183683,3.3145516837320545e+22,2.5986972725991677e+22,2.3672758484186306e+21,1.224504820275613e+21,4.5257297679935267e+21
3472,16.34688116693752,0.1387966915090798,2.298905753087439,3.956501033267963,0.999999,0.8529674831184639,3.956501033381735e-06,7.912998110034892,19.14342021241906,9.55,21.393294216395347,1.2488672094618416,7119766.266439366,6510477.089916838,66.12389918685884,4.090149972711483,1.6372265231906945e-34,1.345e+23,2575000.0,9.545520033832508,2.241186875159276,0.9144228681502439,0.5,0.40656814601260416,0.38191725136264215,0.05694740288529448,0.036539244465992174,0.11802795527346699,2.734170781934763e+22,2.5683935154137683e+22,3.8297128440360537e+21,2.457264190337974e+21,7.937379992140655e+21
4204,32.26953471902263,0.0759436044554943,6.249531792281746,21.908427134012992,0.999999,5.660747452836193,2.1908427134642984e-05,43.81683235959885,13.268703552218415,9.55,16.348118973039487,1.518023856448837,7849588.73844317,7231479.850291899,67.11038039571382,4.112765549433155,1.9854187276170284e-34,1.345e+23,2575000.0,9.545520033832508,1.712648332945329,0.9212558888436922,0.5,0.36191145306015604,0.3801776920637493,0.06551663806752593,0.0495979013505883,0.14279631545798044,2.4338545218295494e+22,2.556694979128714e+22,4.405993910041119e+21,3.3354588658270633e+21,9.603052214549184e+21
6547,19.83999827669915,0.0954283960607079,4.793959865891291,3.3118294542264253,0.999999,15.77882753435086,3.311829454321659e-06,6.623655596623395,31.621584205287913,9.55,33.0322128785238,1.0912093783133678,6655208.255311985,6304806.865944624,71.32485974958188,4.0955711252850495,1.4390744143906932e-34,1.345e+23,2575000.0,9.545520033832508,3.4604937982893142,0.9473492975839365,0.5,0.4851072930810859,0.38648330440994916,0.038409921117316226,0.01820201980579793,0.07179746158585076,3.2623465459703026e+22,2.5991002221569083e+22,2.583067195139516e+21,1.2240858319399108e+21,4.828379291648463e+21
7868,41.13757477431772,0.04013322359212101,1.9284064583833749,6.391316522127316,0.999999,3.657887137480424,6.391316522311103e-06,12.78262665293811,49.51688723895736,9.55,50.42940235453538,1.037196328214422,6488407.093327418,6246053.40878714,74.29078228858627,4.092584887879918,1.3647247213370842e-34,1.345e+23,2575000.0,9.545520033832508,5.283044001353174,0.9626481999272963,0.5,0.49415841675193,0.3876042205749752,0.033529766255617134,0.017707553197570385,0.06700004321990738,3.323215352656729e+22,2.606638383366708e+22,2.2548767806902522e+21,1.1908329525366083e+21,4.505752906538771e+21
19443,32.62991447466949,0.06674783316222119,3.657189312651145,1.8449436348663901,0.6507574211927666,3.0936035506206268,0.644332872794729,3.045554396938051,22.159067615697513,9.55,24.129375822781952,1.1857392885873617,6937487.444554865,6429527.539543601,67.93837727615886,4.0562021184357135,5.844616618163397e-05,1.345e+23,2575000.0,9.545520033832508,2.5278220293142115,0.9267804217202649,0.5,0.4296074832303025,0.38513748454139024,0.05035025267542306,0.029238111857302688,0.10566666769558153,2.8891103247237844e+22,2.5900495835408493e+22,3.386054492422201e+21,1.9662630224036058e+21,7.106083402527858e+21
241,30.45167489032502,0.09549955288811832,6.0140802372069455,58.42798695793816,0.999999,4.264018503817011,5.8427986959618295e-05,116.85591548788935,41.30389139598262,9.55,42.393560176648606,1.0534594889715658,6539078.105161255,5782105.658120752,62.157975609722556,4.2519680907084485,2.072224053596685e-35,1.345e+23,2575000.0,9.545520033832508,4.441199644062522,0.8842386595072126,0.5,0.4879608033466206,0.3818652543983793,0.0419132088656677,0.01967035323110456,0.06859038015822783,3.2815364025060235e+22,2.568043835829101e+22,2.8186632962161524e+21,1.3228312547917816e+21,4.6127030656408213e+21
7313,19.62404102416547,0.02120677375291537,0.8007009437291522,2.2727617992466502,0.7969124964211666,2.544814391045161,0.46156952003833995,4.083954078454961,64.43776601165287,9.55,65.1416010593271,1.0219647261108666,6440588.587039496,5617790.827130023,60.72093752745828,4.022862432448211,9.416532421203848e-11,1.345e+23,2575000.0,9.545520033832508,6.824311386749336,0.872248048638722,0.5,0.48705913108852655,0.3810199456912359,0.04317983291615137,0.019890637398600943,0.0688504529054853,3.275472656570341e+22,2.5623591347735614e+22,2.9038437636111797e+21,1.3376453650559135e+21,4.6301929578938866e+21
12508,25.985614280605805,0.10150361150830739,11.763915935551681,3.1181318951288595,0.8486838454118979,15.524701517802097,0.4718237278694103,5.764440062388308,13.006211031507787,9.55,16.13579949665076,1.5391444643599477,7904006.658366855,6977929.9682419915,61.98620403611495,4.1548758514767075,4.193132923322809e-10,1.345e+23,2575000.0,9.545520033832508,1.6904054927819647,0.88283452555742,0.5,0.35803198732091934,0.37113324079168136,0.0777744526452007,0.0509609884319946,0.1420993308102041,2.4077651147331826e+22,2.495871044324057e+22,5.230331940389748e+21,3.427126472051637e+21,9.556179996986225e+21
14774,39.253680771413435,0.06846443436372254,1.952860626472184,7.369390988649205,0.999999,2.774497539044818,7.369390988861117e-06,14.738774607907422,16.093870194632196,9.55,18.71403638560293,1.3521159960288518,7408232.10146446,6948386.0409550285,69.70640177187478,4.1637909488490115,1.1664679276154556e-34,1.345e+23,2575000.0,9.545520033832508,1.960504647130187,0.9379276925707378,0.5,0.3846896424206868,0.3850705380104437,0.05585196235183577,0.043002173503392645,0.13138568371364112,2.587037845279119e+22,2.589599368120234e+22,3.7560444681609554e+21,2.8918961681031553e+21,8.835687229742365e+21
