time_years,temperature_K,cold_trap_factor,olr_W_m2,H2_flux_m-2_s-1,crossover_mass_kg_per_particle,crossover_mass_amu,atomic_N_photolysis_fraction,N_drag_active,Ar36_drag_active,Rayleigh_active,water_kg,D_H,N_kg,Ar36_kg
0.0,2800.0,0.05000000065485749,280.0,1e+17,2.0542608303733314e-25,123.71040928693867,1.0,1,1,1,1.3143302963379575e+22,0.00019574512061284736,2.35e+21,5000000000000000.0
100.10010010010011,2799.9999871099817,0.05000000065485758,280.0,9.950074991627064e+16,2.0542608280476213e-25,123.71040914688122,1.0,1,1,1,1.3143243063959036e+22,0.00019574520982214828,2.349996247442591e+21,4979903706510280.0
200.20020020020021,2799.9999742199634,0.050000000654857664,280.0,9.900399233900234e+16,2.0542608257219117e-25,123.7104090068238,1.0,1,1,1,1.3143183284337298e+22,0.0001957452988534765,2.3499924948792466e+21,4959787807623636.0
300.3003003003003,2799.999961329945,0.05000000065485775,280.0,9.850971482435445e+16,2.0542608233962021e-25,123.71040886676636,1.0,1,1,1,1.3143123624274763e+22,0.00019574538770718625,2.3499887423099964e+21,4939652690699576.0
400.40040040040043,2799.999948439927,0.05000000065485783,280.0,9.801790499061232e+16,2.0542608210704923e-25,123.71040872670892,1.0,1,1,1,1.3143064083532314e+22,0.00019574547638363097,2.34998498973487e+21,4919498746293549.0
500.50050050050055,2799.9999355499085,0.050000000654857914,280.0,9.752855051787693e+16,2.0542608187447827e-25,123.7104085866515,1.0,1,1,1,1.314300466187131e+22,0.0001957455648831634,2.3499812371538963e+21,4899326368152487.0
600.6006006006006,2799.99992265989,0.050000000654858,280.0,9.70416391477564e+16,2.0542608164190733e-25,123.71040844659409,1.0,1,1,1,1.3142945359053587e+22,0.00019574565320613568,2.349977484567105e+21,4879135953209943.0
700.7007007007007,2799.999909769872,0.05000000065485809,280.0,9.65571586830589e+16,2.0542608140933637e-25,123.71040830653665,1.0,1,1,1,1.314288617484146e+22,0.00019574574135289912,2.349973731974525e+21,4858927901580809.0
800.8008008008009,2799.9998968798536,0.05000000065485817,280.0,9.607509698748702e+16,2.0542608117676541e-25,123.71040816647923,1.0,1,1,1,1.314282710899772e+22,0.0001957458293238044,2.3499699793761849e+21,4838702616555620.0
900.900900900901,2799.9998839898353,0.050000000654858254,280.0,9.559544198533395e+16,2.0542608094419447e-25,123.71040802642182,1.0,1,1,1,1.3142768161285627e+22,0.00019574591711920154,2.3499662267721135e+21,4818460504594432.0
1001.0010010010011,2799.999871099817,0.05000000065485834,280.0,9.511818166118072e+16,2.054260807116235e-25,123.71040788636438,1.0,1,1,1,1.3142709331468919e+22,0.0001957460047394398,2.3499624741623397e+21,4798201975320268.0
1101.1011011011012,2799.9998582097987,0.05000000065485842,280.0,9.464330405959544e+16,2.0542608047905255e-25,123.71040774630696,1.0,1,1,1,1.3142650619311805e+22,0.0001957460921848678,2.3499587215468918e+21,4777927441512138.0
1201.2012012012012,2799.9998453197804,0.050000000654858504,280.0,9.417079728483368e+16,2.0542608024648152e-25,123.71040760624949,1.0,1,1,1,1.3142592024578965e+22,0.00019574617945583336,2.349954968925798e+21,4757637319097614.0
1301.3013013013015,2799.999832429762,0.050000000654858594,280.0,9.370064950054054e+16,2.054260800139106e-25,123.7104074661921,1.0,1,1,1,1.3142533547035552e+22,0.0001957462665526838,2.3499512162990864e+21,4737332027144967.0
1401.4014014014015,2799.999819539744,0.05000000065485868,280.0,9.323284892945414e+16,2.0542607978133958e-25,123.71040732613463,1.0,1,1,1,1.3142475186447187e+22,0.00019574635347576562,2.3499474636667853e+21,4717011987854855.0
1501.5015015015017,2799.9998066497255,0.05000000065485876,280.0,9.27673838531106e+16,2.0542607954876867e-25,123.71040718607722,1.0,1,1,1,1.314241694257996e+22,0.00019574644022542464,2.3499437110289223e+21,4696677626551562.0
1601.6016016016017,2799.9997937597072,0.050000000654858844,280.0,9.23042426115504e+16,2.0542607931619766e-25,123.71040704601977,1.0,1,1,1,1.3142358815200428e+22,0.00019574652680200602,2.349939958385525e+21,4676329371673777.0
1701.7017017017017,2799.999780869689,0.05000000065485893,280.0,9.18434136030265e+16,2.0542607908362677e-25,123.71040690596239,1.0,1,1,1,1.3142300804075617e+22,0.00019574661320585426,2.3499362057366216e+21,4655967654764916.0
1801.801801801802,2799.9997679796707,0.05000000065485901,280.0,9.138488528371347e+16,2.0542607885105572e-25,123.71040676590489,1.0,1,1,1,1.3142242908973017e+22,0.00019574669943731317,2.349932453082239e+21,4635592910462976.0
1901.901901901902,2799.9997550896524,0.0500000006548591,280.0,9.092864616741858e+16,2.0542607861848476e-25,123.71040662584747,1.0,1,1,1,1.3142185129660582e+22,0.0001957467854967258,2.349928700422405e+21,4615205576489921.0
2002.0020020020022,2799.999742199634,0.050000000654859184,280.0,9.047468482529376e+16,2.0542607838591377e-25,123.71040648579003,1.0,1,1,1,1.3142127465906735e+22,0.00019574687138443459,2.3499249477571463e+21,4594806093640596.0
2102.1021021021024,2799.9997293096158,0.05000000065485927,280.0,9.002298988554962e+16,2.0542607815334277e-25,123.71040634573258,1.0,1,1,1,1.3142069917480357e+22,0.0001957469571007813,2.3499211950864904e+21,4574394905771157.0
2202.2022022022024,2799.9997164195975,0.05000000065485935,280.0,8.957355003317035e+16,2.0542607792077185e-25,123.71040620567517,1.0,1,1,1,1.3142012484150794e+22,0.00019574704264610705,2.349917442410464e+21,4553972459787022.0
2302.3023023023025,2799.999703529579,0.05000000065485943,280.0,8.912635400963038e+16,2.0542607768820087e-25,123.71040606561773,1.0,1,1,1,1.3141955165687852e+22,0.0001957471280207522,2.3499136897290939e+21,4533539205630336.0
2402.4024024024025,2799.999690639561,0.05000000065485952,280.0,8.868139061261238e+16,2.0542607745562984e-25,123.71040592556027,1.0,1,1,1,1.3141897961861796e+22,0.0001957472132250565,2.3499099370424068e+21,4513095596266941.0
2502.5025025025025,2799.9996777495426,0.05000000065485961,280.0,8.823864869572656e+16,2.0542607722305888e-25,123.71040578550284,1.0,1,1,1,1.3141840872443354e+22,0.000195747298259359,2.3499061843504293e+21,4492642087672850.5
2602.602602602603,2799.9996648595243,0.05000000065485969,280.0,8.779811716823149e+16,2.0542607699048794e-25,123.71040564544542,1.0,1,1,1,1.3141783897203712e+22,0.00019574738312399804,2.3499024316531878e+21,4472179138820225.5
2702.702702702703,2799.999651969506,0.05000000065485977,280.0,8.73597849947563e+16,2.0542607675791691e-25,123.71040550538795,1.0,1,1,1,1.314172703591451e+22,0.0001957474678193114,2.3498986789507084e+21,4451707211662846.0
2802.802802802803,2799.9996390794877,0.05000000065485986,280.0,8.692364119502421e+16,2.05426076525346e-25,123.71040536533056,1.0,1,1,1,1.3141670288347848e+22,0.00019574755234563605,2.3498949262430173e+21,4431226771121071.5
2902.902902902903,2799.9996261894694,0.05000000065485994,280.0,8.648967484357744e+16,2.0542607629277504e-25,123.71040522527313,1.0,1,1,1,1.3141613654276282e+22,0.00019574763670330842,2.3498911735301404e+21,4410738285066291.5
3003.0030030030034,2799.999613299451,0.05000000065486002,280.0,8.605787506950363e+16,2.0542607606020405e-25,123.71040508521568,1.0,1,1,1,1.3141557133472822e+22,0.0001957477208926642,2.3498874208121038e+21,4390242224304856.5
3103.1031031031034,2799.999600409433,0.05000000065486011,280.0,8.562823105616342e+16,2.0542607582763302e-25,123.71040494515822,1.0,1,1,1,1.314150072571093e+22,0.0001957478049140384,2.349883668088933e+21,4369739062561490.5
3203.2032032032034,2799.9995875194145,0.0500000006548602,280.0,8.520073204091957e+16,2.0542607559506204e-25,123.71040480510078,1.0,1,1,1,1.3141444430764525e+22,0.00019574788876776546,2.3498799153606537e+21,4349229276462175.5
3303.3033033033034,2799.999574629396,0.05000000065486028,280.0,8.477536731486725e+16,2.0542607536249106e-25,123.71040466504334,1.0,1,1,1,1.3141388248407976e+22,0.00019574797245417905,2.3498761626272913e+21,4328713345516509.5
3403.4034034034034,2799.999561739378,0.05000000065486036,280.0,8.435212622256592e+16,2.0542607512992007e-25,123.71040452498589,1.0,1,1,1,1.3141332178416102e+22,0.00019574805597361228,2.3498724098888714e+21,4308191752099530.0
3503.503503503504,2799.9995488493596,0.050000000654860446,280.0,8.393099816177226e+16,2.0542607489734914e-25,123.71040438492848,1.0,1,1,1,1.3141276220564175e+22,0.00019574813932639746,2.3498686571454191e+21,4287664981433000.5
3603.603603603604,2799.9995359593413,0.05000000065486053,280.0,8.351197258317474e+16,2.0542607466477806e-25,123.71040424487099,1.0,1,1,1,1.3141220374627914e+22,0.00019574822251286643,2.3498649043969596e+21,4267133521566157.5
