time_years,temperature_K,cold_trap_factor,olr_W_m2,H2_flux_m-2_s-1,crossover_mass_kg_per_particle,crossover_mass_amu,atomic_N_photolysis_fraction,N_drag_active,Ar36_drag_active,Rayleigh_active,water_kg,D_H,N_kg,Ar36_kg
0.0,2800.0,0.05000000065485749,280.0,4.639499134516127e+20,9.37546069139441e-22,564603.1225622032,0.6096948773246815,1,1,1,2.8518888688472283e+22,0.0001539174165342099,2.35e+21,5000000000000000.0
100.10010010010011,2797.4219963037053,0.05000000067195924,280.0,4.6163364312024325e+20,9.373301920359055e-22,564473.1184047994,0.6086246225971262,1,1,1,2.8518828789051744e+22,0.00015391744886216914,2.345241481463863e+21,4999455795430026.0
200.20020020020021,2794.8439926074107,0.0500000006895076,280.0,4.5932893677044256e+20,9.371141656723226e-22,564343.0243609444,0.607556213953666,1,1,1,2.8518769009430006e+22,0.00015391748112554695,2.3404828927984043e+21,4998908919823903.0
300.3003003003003,2792.265988911116,0.05000000070751424,280.0,4.57035736669023e+20,9.368979898076696e-22,564212.8402854913,0.6064896479309433,1,1,1,2.8518709349367474e+22,0.0001539175133244722,2.3357242561530348e+21,4998359360371963.0
400.40040040040043,2789.6879852148213,0.050000000725991124,280.0,4.5475398537102977e+20,9.366816642003112e-22,564082.5660329238,0.6054249210696768,1,1,1,2.851864980862503e+22,0.0001539175454590735,2.3309655936647944e+21,4997807104206125.0
500.50050050050055,2787.1099815185266,0.05000000074495054,280.0,4.524836257183024e+20,9.36465188607999e-22,563952.2014573567,0.6043620299146379,1,1,1,2.8518590386964032e+22,0.00015391757752947918,2.3262069274580303e+21,4997252138399662.0
600.6006006006006,2784.531977822232,0.050000000764405084,280.0,4.502246008380421e+20,9.362485627878669e-22,563821.7464125326,0.6033009710146267,1,1,1,2.851853108414632e+22,0.00015391760953581735,2.3214482796440776e+21,4996694449966962.0
700.7007007007007,2781.9539741259373,0.05000000078436769,280.0,4.4797685414138806e+20,9.36031786496431e-22,563691.2007518223,0.6022417409224471,1,1,1,2.8518471899934202e+22,0.00015391764147821587,2.3166896723209416e+21,4996134025863293.0
800.8008008008009,2779.3759704296426,0.05000000080485162,280.0,4.45740329321999e+20,9.358148594895858e-22,563560.5643282221,0.6011843361948833,1,1,1,2.851841283409047e+22,0.00015391767335680228,2.3119311275729814e+21,4995570852984564.0
900.900900900901,2776.797966733348,0.05000000082587049,280.0,4.4351497035464344e+20,9.355977815226046e-22,563429.836994354,0.6001287533926752,1,1,1,2.8518353886378388e+22,0.00015391770517170399,2.3071726674705968e+21,4995004918167089.0
1001.0010010010011,2774.2199630370533,0.05000000084743828,280.0,4.413007214937957e+20,9.353805523501339e-22,563299.018602463,0.5990749890804937,1,1,1,2.851829505656169e+22,0.00015391773692304803,2.302414314069916e+21,4994436208187345.0
