particle,time_yr,distance_au,relative_speed_km_s,collided
injected_000000,381.5077640291008,0.9551736293111314,6.775474991467027,False
injected_000001,8.001247299361003,1.5060967504419636,55.64826185181652,False
injected_000002,331.5032172062866,0.9423822555607406,12.166857386238565,False
injected_000003,484.50841448391867,0.5617954651863272,31.277177284696418,False
injected_000004,214.5044676935095,0.8216969239354984,37.217387669091394,False
injected_000005,454.50158073414013,0.9535603160789848,18.5533072384265,False
injected_000006,198.01064315660375,0.4598434756800184,8.020551383279356,False
injected_000007,255.51145764335476,0.156649269717427,18.040748013632175,False
injected_000008,453.5000945029573,1.4658968605665004,6.93315624067865,False
injected_000009,451.0148199119871,1.551265232335713,44.891332018665445,False
injected_000010,493.00140031787936,0.801467220937061,15.297218443999977,False
injected_000011,171.0150191222134,0.4399533411135079,11.982479124815766,False
injected_000012,182.51567382735323,0.9311076757811194,12.956975776374172,False
injected_000013,423.0047409417879,0.8336968346662896,7.971278798928015,False
injected_000014,234.00799409817367,1.30400721163051,34.17556834908128,False
injected_000015,198.50470280008383,0.5173639781747065,25.68271360744378,False
injected_000016,207.00465685020825,0.7803914097425172,31.216302081099574,False
injected_000017,482.00074407274747,1.0941252017635599,50.9646153472747,False
injected_000018,313.01064895502634,0.8991723715049156,37.563599015128496,False
injected_000019,16.512622441298983,0.07106548792521153,11.404560249184216,False
injected_000020,22.01390827891551,0.7661248093390063,20.969352194648202,False
injected_000021,494.0004428366864,1.870781140225352,24.025001552515718,False
injected_000022,53.000594852369495,0.6803254409552499,16.03497005773773,False
injected_000023,212.50160390016933,0.639095087391989,16.622448777141457,False
injected_000024,177.51688813975375,0.36699204139120567,18.250412546166817,False
injected_000025,52.01117512421377,1.0640285036938577,18.990103927127798,False
injected_000026,5.512091566869037,1.3138364324827256,15.609793794485844,False
injected_000027,469.5141828799282,0.7917203352147608,19.588487418962888,False
injected_000028,431.01687400069716,1.366188471693756,51.13520556037019,False
injected_000029,185.01306002226258,0.40556422628575073,23.9888308875227,False
injected_000030,492.0075715070816,0.6164763142084464,19.963824238866934,False
injected_000031,51.008954674132866,1.1557929764920292,22.786851969961337,False
injected_000032,226.01095447931638,2.0169679975288712,58.15131348328053,False
injected_000033,426.50701362113534,1.9898137705490226,16.617409324847536,False
injected_000034,294.5063538005031,0.873690556358676,20.73834650311664,False
injected_000035,309.50281708708576,0.5948692047796788,24.24474771451808,False
injected_000036,170.00485169222077,1.3467995966363728,24.677250330378463,False
injected_000037,253.00920488930478,1.1004357210634446,24.91817408250032,False
injected_000038,300.0128977746645,0.9717342584829083,35.834156309703445,False
injected_000039,464.51175222210065,1.1244237218337858,18.784200802440555,False
injected_000040,273.0003008927507,1.0217412624512119,18.678182943050512,False
injected_000041,97.50815200607182,0.9157766527947875,19.53157400881381,False
injected_000042,292.00047855595886,0.6630970617785762,11.267191658907777,False
injected_000043,468.50598373658977,1.361201796313926,32.09727784484779,False
injected_000044,73.50513623839338,0.11313291037596263,22.875852274577078,False
injected_000045,157.510883808414,0.574629899736719,32.63028883022148,False
injected_000046,307.01023080975705,0.7375805565001933,17.358028121624017,False
injected_000047,453.5000945029573,0.5613780229630554,13.789809705806173,False
injected_000048,170.00485169222077,1.2943330421387134,28.36953072348241,False
injected_000049,415.50633949650717,1.1599072174657727,22.376921508560255,False
