label,c_eff,impactor_dh,n_photolysis_scale,h2_reservoir_kg,argon_shielding_factor,argon_exposure_factor,first_T_below_1500_yr_min,first_T_below_1500_yr_max,final_T_K_min,final_T_K_max,D_H_over_SMOW_min,D_H_over_SMOW_max,N_residual_fraction_min,N_residual_fraction_max,Ar36_retained_fraction_min,Ar36_retained_fraction_max,max_crossover_amu_min,max_crossover_amu_max
baseline_run5,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0018393505095084836,0.0018393505095084836,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
oat_argon_exposure_factor_00,2.5e+25,0.0001465,0.61,5e+20,0.9902623783,0.009737621700000032,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0018393505095084836,0.0018393505095084836,0.34676298401896516,0.34676298401896516,564603.1225622032,564603.1225622032
oat_argon_exposure_factor_01,2.5e+25,0.0001465,0.61,5e+20,0.9844198052800001,0.01558019471999994,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0018393505095084836,0.0018393505095084836,0.18349647110037184,0.18349647110037184,564603.1225622032,564603.1225622032
oat_argon_exposure_factor_02,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0018393505095084836,0.0018393505095084836,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
oat_argon_exposure_factor_03,2.5e+25,0.0001465,0.61,5e+20,0.97662970792,0.023370292079999966,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0018393505095084836,0.0018393505095084836,0.07845011407281843,0.07845011407281843,564603.1225622032,564603.1225622032
oat_argon_exposure_factor_04,2.5e+25,0.0001465,0.61,5e+20,0.9707871349000001,0.029212865099999874,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0018393505095084836,0.0018393505095084836,0.04144260305682104,0.04144260305682104,564603.1225622032,564603.1225622032
oat_impactor_dh_00,2.5e+25,0.000139175,0.61,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.8971076359960992,0.9038580889201513,0.0018393505095084836,0.0018393505095084836,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
oat_impactor_dh_01,2.5e+25,0.00014357,0.61,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9243250363562457,0.9293236133083549,0.0018393505095084836,0.0018393505095084836,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
oat_impactor_dh_02,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.9424699699296769,0.9463006295671574,0.0018393505095084836,0.0018393505095084836,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
oat_impactor_dh_03,2.5e+25,0.00014943,0.61,5e+20,0.9805247566,0.019475243399999953,50550.55055055056,50550.55055055056,300.0,300.0,0.960614903503108,0.9632776458259596,0.0018393505095084836,0.0018393505095084836,0.12000000073673292,0.12000000073673292,564603.1225622032,564603.1225622032
