first_T_below_1500_yr,final_T_K,D_H_over_SMOW,final_N_kg,N_residual_fraction,final_Ar36_kg,Ar36_retained_fraction,max_crossover_amu,label,case,c_eff,impactor_dh,n_photolysis_scale,h2_reservoir_kg,argon_shielding_factor,argon_exposure_factor
50550.55055055056,300.0,0.9462160508067251,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,baseline_run5,0,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9463006295671574,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,baseline_run5,1,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9444252432583514,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,baseline_run5,2,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9444841367690439,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,baseline_run5,3,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9431812980285696,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,baseline_run5,4,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9431941513831105,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,baseline_run5,5,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9425191231131548,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,baseline_run5,6,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9424699699296769,4.3224736973449364e+18,0.0018393505095084836,600000003683664.6,0.12000000073673292,564603.1225622032,baseline_run5,7,2.5e+25,0.0001465,0.61,5e+20,0.9805247566,0.019475243399999953
50550.55055055056,300.0,0.9462160508067251,4.3224736973449364e+18,0.0018393505095084836,1733814920094825.8,0.34676298401896516,564603.1225622032,oat_argon_exposure_factor_00,0,2.5e+25,0.0001465,0.61,5e+20,0.9902623783,0.009737621700000032
50550.55055055056,300.0,0.9463006295671574,4.3224736973449364e+18,0.0018393505095084836,1733814920094825.8,0.34676298401896516,564603.1225622032,oat_argon_exposure_factor_00,1,2.5e+25,0.0001465,0.61,5e+20,0.9902623783,0.009737621700000032
50550.55055055056,300.0,0.9444252432583514,4.3224736973449364e+18,0.0018393505095084836,1733814920094825.8,0.34676298401896516,564603.1225622032,oat_argon_exposure_factor_00,2,2.5e+25,0.0001465,0.61,5e+20,0.9902623783,0.009737621700000032
50550.55055055056,300.0,0.9444841367690439,4.3224736973449364e+18,0.0018393505095084836,1733814920094825.8,0.34676298401896516,564603.1225622032,oat_argon_exposure_factor_00,3,2.5e+25,0.0001465,0.61,5e+20,0.9902623783,0.009737621700000032
50550.55055055056,300.0,0.9431812980285696,4.3224736973449364e+18,0.0018393505095084836,1733814920094825.8,0.34676298401896516,564603.1225622032,oat_argon_exposure_factor_00,4,2.5e+25,0.0001465,0.61,5e+20,0.9902623783,0.009737621700000032
50550.55055055056,300.0,0.9431941513831105,4.3224736973449364e+18,0.0018393505095084836,1733814920094825.8,0.34676298401896516,564603.1225622032,oat_argon_exposure_factor_00,5,2.5e+25,0.0001465,0.61,5e+20,0.9902623783,0.009737621700000032
50550.55055055056,300.0,0.9425191231131548,4.3224736973449364e+18,0.0018393505095084836,1733814920094825.8,0.34676298401896516,564603.1225622032,oat_argon_exposure_factor_00,6,2.5e+25,0.0001465,0.61,5e+20,0.9902623783,0.009737621700000032
50550.55055055056,300.0,0.9424699699296769,4.3224736973449364e+18,0.0018393505095084836,1733814920094825.8,0.34676298401896516,564603.1225622032,oat_argon_exposure_factor_00,7,2.5e+25,0.0001465,0.61,5e+20,0.9902623783,0.009737621700000032
50550.55055055056,300.0,0.9462160508067251,4.3224736973449364e+18,0.0018393505095084836,917482355501859.2,0.18349647110037184,564603.1225622032,oat_argon_exposure_factor_01,0,2.5e+25,0.0001465,0.61,5e+20,0.9844198052800001,0.01558019471999994
50550.55055055056,300.0,0.9463006295671574,4.3224736973449364e+18,0.0018393505095084836,917482355501859.2,0.18349647110037184,564603.1225622032,oat_argon_exposure_factor_01,1,2.5e+25,0.0001465,0.61,5e+20,0.9844198052800001,0.01558019471999994
50550.55055055056,300.0,0.9444252432583514,4.3224736973449364e+18,0.0018393505095084836,917482355501859.2,0.18349647110037184,564603.1225622032,oat_argon_exposure_factor_01,2,2.5e+25,0.0001465,0.61,5e+20,0.9844198052800001,0.01558019471999994
