time_s,temperature_K,pressure_Pa,quench_active,NH3_mol,N2_mol,H2_mol,CO2_mol,CO_mol,H2O_mol,Fe_mol,FeO_mol,CN_mol,HCN_mol,H2S_mol,HS_mol,cumulative_H2_from_NH3_mol,cumulative_H2_from_Fe_H2O_mol,cumulative_N2_from_NH3_mol
0.0,2800.0,298875739.68200165,0,1.974396553951377e+23,0.0,0.0,9.997841375157636e+19,0.0,5.550843506179199e+22,1.0027755394395202e+20,0.0,0.0,0.0,9.976262363963394e+16,0.0,0.0,0.0,0.0
3158918918.918919,2797.937597042964,298782973.3993104,0,2.9615948309270656e+22,8.391185354293352e+22,2.5175650591169768e+23,9.994856819761006e+19,2.9845553966308804e+16,5.54874897788949e+22,7.930242549289525e+19,2.097512845105678e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,2.094528289709047e+19,8.391185354293352e+22
6317837837.837838,2795.8751940859283,298690207.9757309,0,2.9615948309270656e+22,8.391185354293352e+22,2.517664628762527e+23,9.993288480448265e+19,4.552894709371941e+16,5.547753281433987e+22,6.932977754474467e+19,3.0947776399207363e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,3.090224745211364e+19,8.391185354293352e+22
9476756756.756758,2793.8127911288925,298597443.8313923,0,2.9615948309270656e+22,8.391185354293352e+22,2.5177516614427712e+23,9.991917546906478e+19,5.923828251158914e+16,5.5468829546315445e+22,6.061280018490321e+19,3.966475375904883e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,3.960551547653723e+19,8.391185354293352e+22
12635675675.675676,2791.7503881718567,298504681.38617384,0,2.9615948309270656e+22,8.391185354293352e+22,2.5178277393859048e+23,9.990719121131287e+19,7.122254026350155e+16,5.546122175200209e+22,5.299302161380326e+19,4.728453233014878e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,4.721330978988528e+19,8.391185354293352e+22
15794594594.594597,2789.687985214821,298411921.05969733,0,2.9615948309270656e+22,8.391185354293352e+22,2.517894244268055e+23,9.989671457342022e+19,8.169917815615446e+16,5.545457126378707e+22,4.633205676088282e+19,5.394549718306922e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,5.386379800491306e+19,8.391185354293352e+22
18953513513.513515,2787.625582257785,298319163.27132136,0,2.9615948309270656e+22,8.391185354293352e+22,2.5179523828378857e+23,9.988755560083197e+19,9.085815074439672e+16,5.544875740680401e+22,4.05090408052363e+19,5.976851313871574e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,5.967765498797134e+19,8.391185354293352e+22
22112432432.432434,2785.563179300749,298226408.4401346,0,2.9615948309270656e+22,8.391185354293352e+22,2.5180032092192215e+23,9.98795483422678e+19,9.88654093085608e+16,5.544367476867043e+22,3.541839541309263e+19,6.485915853085941e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,6.476029312155084e+19,8.391185354293352e+22
25271351351.351353,2783.5007763437134,298133656.9849497,0,2.9615948309270656e+22,8.391185354293352e+22,2.518047644333552e+23,9.987254780018483e+19,1.0586595139153466e+17,5.543923125723738e+22,3.096788343796007e+19,6.930967050599197e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,6.920380455460043e+19,8.391185354293352e+22
28430270270.27027,2781.4383733866775,298040909.3242971,0,2.9615948309270656e+22,8.391185354293352e+22,2.5180864928229086e+23,9.986642727252954e+19,1.119864790468169e+17,5.54353464083017e+22,2.7076913974631465e+19,7.3200639969320575e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,7.3088653490273755e+19,8.391185354293352e+22
31589189189.189194,2779.3759704296417,297948165.8764181,0,2.9615948309270656e+22,8.391185354293352e+22,2.5181204578013617e+23,9.986107603466925e+19,1.1733771690711186e+17,5.543194991045639e+22,2.367506489146476e+19,7.660248905248727e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,7.648515133558016e+19,8.391185354293352e+22
34748108108.10811,2777.313567472606,297855427.0592595,0,2.9615948309270656e+22,8.391185354293352e+22,2.5181501537187555e+23,9.985639731727912e+19,1.220164342972348e+17,5.5428980318717025e+22,2.070079443470186e+19,7.957675950925018e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,7.945474307495294e+19,8.391185354293352e+22
37907027027.02703,2775.25116451557,297762693.29046655,0,2.9615948309270656e+22,8.391185354293352e+22,2.518176117582093e+23,9.985230654187122e+19,1.2610720970514549e+17,5.542638393238328e+22,1.8100317325548474e+19,8.217723661840356e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,8.205112940869842e+19,8.391185354293352e+22
41065945945.94595,2773.188761558534,297669964.98737764,0,2.9615948309270656e+22,8.391185354293352e+22,2.5181988187471833e+23,9.98487297807346e+19,1.2968397084175502e+17,5.542411381587424e+22,1.5826624055372917e+19,8.445092988857913e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,8.432124591773737e+19,8.391185354293352e+22
44224864864.86487,2771.1263586014984,297577242.56701756,0,2.9615948309270656e+22,8.391185354293352e+22,2.5182186674649588e+23,9.984560241243659e+19,1.3281133913977346e+17,5.542212894409669e+22,1.383862490952745e+19,8.64389290344246e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,8.630611769528482e+19,8.391185354293352e+22
47383783783.78379,2769.0639556444626,297484526.4460915,0,2.9615948309270656e+22,8.391185354293352e+22,2.5182360223425594e+23,9.984286794781567e+19,1.3554580376069805e+17,5.542039345633664e+22,1.2100402684851626e+19,8.817715125910041e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,8.804160545533972e+19,8.391185354293352e+22
50542702702.702705,2767.0015526874267,297391817.0409793,0,2.9615948309270656e+22,8.391185354293352e+22,2.518251196858302e+23,9.98404770046662e+19,1.3793674691016445e+17,5.541887600476239e+22,1.0580560167450677e+19,8.969699377650137e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,8.95590570295912e+19,8.391185354293352e+22
53701621621.62162,2764.939149730391,297299114.76772916,0,2.9615948309270656e+22,8.391185354293352e+22,2.5182644650515098e+23,9.983838641214428e+19,1.4002733943207574e+17,5.541754918544162e+22,9.251650254157666e+18,9.102590368979439e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.08858763503623e+19,8.391185354293352e+22
56860540540.54054,2762.876746773355,297206420.0420517,0,2.9615948309270656e+22,8.391185354293352e+22,2.5182760664924748e+23,9.983655842837707e+19,1.4185532319927632e+17,5.541638904134511e+22,8.089678173878415e+18,9.218787577007365e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.204602044687435e+19,8.391185354293352e+22
60019459459.459465,2760.8143438163193,297113733.2793139,0,2.9615948309270656e+22,8.391185354293352e+22,2.5182862106242168e+23,9.983496005688582e+19,1.4345369469052299e+17,5.541537462817091e+22,7.073666628190132e+18,9.320388731576194e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.30604336210714e+19,8.391185354293352e+22
63178378378.37839,2758.7519408592834,297021054.8945338,0,2.9615948309270656e+22,8.391185354293352e+22,2.5182950805558896e+23,9.983356244928093e+19,1.4485130229542093e+17,5.541448763500364e+22,6.185275853310161e+18,9.409227809064192e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.394742678834648e+19,8.391185354293352e+22
66337297297.29731,2756.6895379022476,296928385.30237377,0,2.9615948309270656e+22,8.391185354293352e+22,2.5183028363774358e+23,9.983234038329367e+19,1.460733682826805e+17,5.541371205284903e+22,5.408471632715291e+18,9.486908231123678e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.472300894295409e+19,8.391185354293352e+22
69496216216.21622,2754.6271349452118,296835724.91713524,0,2.9615948309270656e+22,8.391185354293352e+22,2.518309618056171e+23,9.983127180660649e+19,1.4714194496985946e+17,5.541303388497548e+22,4.729235182480853e+18,9.554831876147121e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.540117681650134e+19,8.391185354293352e+22
72655135135.13515,2752.564731988176,296743074.1527527,0,2.9615948309270656e+22,8.391185354293352e+22,2.5183155479682317e+23,9.983033743815968e+19,1.4807631341667283e+17,5.5412440893769415e+22,4.1353096079702036e+18,9.614224433598185e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.599416802256518e+19,8.391185354293352e+22
75814054054.05406,2750.50232903114,296650433.4227881,0,2.9615948309270656e+22,8.391185354293352e+22,2.5183207331110625e+23,9.982952041967146e+19,1.4889333190490387e+17,5.541192237948634e+22,3.615978306406606e+18,9.666157563754545e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.651268230564055e+19,8.391185354293352e+22
78972972972.97298,2748.4399260741043,296557803.1404251,0,2.9615948309270656e+22,8.391185354293352e+22,2.5183252670372553e+23,9.982880601103118e+19,1.4960774054518957e+17,5.541146898686706e+22,3.1618712784834084e+18,9.711568266546864e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.696607492492345e+19,8.391185354293352e+22
82131891891.8919,2746.3775231170684,296465183.7184632,0,2.9615948309270656e+22,8.391185354293352e+22,2.5183292315449196e+23,9.982818132402977e+19,1.502324275465956e+17,5.541107253610062e+22,2.7647958250414884e+18,9.751275811891056e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.736252569136397e+19,8.391185354293352e+22
85290810810.81082,2744.3151201600326,296372575.56931233,0,2.9615948309270656e+22,8.391185354293352e+22,2.5183326981553064e+23,9.98276350895929e+19,1.507786619834698e+17,5.541072587506193e+22,2.4175885519102915e+18,9.785996539204175e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.770918673005829e+19,8.391185354293352e+22
88449729729.72974,2742.252717202997,296279979.10498714,0,2.9615948309270656e+22,8.391185354293352e+22,2.518335729404514e+23,9.982715745429417e+19,1.5125629728219395e+17,5.541042275014118e+22,2.1139859958646792e+18,9.816356794808736e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.801231165080517e+19,8.391185354293352e+22
91608648648.64865,2740.190314245961,296187394.7371016,0,2.9615948309270656e+22,8.391185354293352e+22,2.518338379972707e+23,9.982673980245982e+19,1.5167394911654413e+17,5.541015769332189e+22,1.848511524731022e+18,9.842904241922102e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.827736847010447e+19,8.391185354293352e+22
94767567567.56758,2738.127911288925,296094822.8768632,0,2.9615948309270656e+22,8.391185354293352e+22,2.518340697671322e+23,9.982637460064199e+19,1.520391509343681e+17,5.54099259234604e+22,1.6163764614259843e+18,9.866117748252606e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.850913833159169e+19,8.391185354293352e+22
97926486486.4865,2736.0655083318893,296002263.93506765,0,2.9615948309270656e+22,8.391185354293352e+22,2.518342724306139e+23,9.98260552616449e+19,1.5235848993146106e+17,5.540972325997869e+22,1.4133936407189706e+18,9.886416030323307e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.871180181330161e+19,8.391185354293352e+22
101085405405.40541,2734.0031053748535,295909718.3220935,0,2.9615948309270656e+22,8.391185354293352e+22,2.51834449643185e+23,9.982577602564307e+19,1.5263772593328502e+17,5.54095460474076e+22,1.235901833626431e+18,9.904165211032561e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.888901438439232e+19,8.391185354293352e+22
104244324324.32433,2731.9407024178176,295817186.44789666,0,2.9615948309270656e+22,8.391185354293352e+22,2.5183460460117743e+23,9.982553185624143e+19,1.5288189533493344e+17,5.5409391089415166e+22,1.0806996717894426e+18,9.91968542721626e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.904397237682766e+19,8.391185354293352e+22
107403243243.24324,2729.878299460782,295724668.722005,0,2.9615948309270656e+22,8.391185354293352e+22,2.5183474009946597e+23,9.98253183495976e+19,1.5309540197875194e+17,5.540925559112664e+22,9.449878766217553e+17,9.933256606733029e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.917947066535153e+19,8.391185354293352e+22
110562162162.16217,2727.815896503746,295632165.5535131,0,2.9615948309270656e+22,8.391185354293352e+22,2.518348585818993e+23,9.982513165496407e+19,1.532820966122897e+17,5.540913710869329e+22,8.263187486343951e+17,9.945123519531765e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.929795309870535e+19,8.391185354293352e+22
113721081081.08109,2725.75349354671,295539677.35107696,0,2.9615948309270656e+22,8.391185354293352e+22,2.5183496218539427e+23,9.982496840521394e+19,1.5344534636241933e+17,5.5409033505198335e+22,7.22552003923078e+17,9.955500194002896e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,9.940155659366654e+19,8.391185354293352e+22
