time_s,temperature_K,pressure_Pa,quench_active,NH3_mol,N2_mol,H2_mol,CO2_mol,CO_mol,H2O_mol,Fe_mol,FeO_mol,CN_mol,HCN_mol,H2S_mol,HS_mol,cumulative_H2_from_NH3_mol,cumulative_H2_from_Fe_H2O_mol,cumulative_N2_from_NH3_mol
0.0,2800.0,298875739.68200165,0,1.974396553951377e+23,0.0,0.0,9.997841375157636e+19,0.0,5.550843506179199e+22,1.0027755394395202e+20,0.0,0.0,0.0,9.976262363963394e+16,0.0,0.0,0.0,0.0
3158918918.918919,2797.937597042964,298782973.3993104,0,2.9615948309270656e+22,8.391185354293352e+22,2.517535375276173e+23,9.995183946629094e+19,2.6574285285419852e+16,5.549045816297526e+22,8.227408084194225e+19,1.8003473102009758e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,1.7976898816724339e+19,8.391185354293352e+22
6317837837.837838,2795.8751940859283,298690207.9757309,0,2.9615948309270656e+22,8.391185354293352e+22,2.5176240409064757e+23,9.993758978056307e+19,4.082397101328804e+16,5.548159159994499e+22,7.3393268125944996e+19,2.6884285818007007e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,2.6843461846993723e+19,8.391185354293352e+22
9476756756.756758,2793.8127911288925,298597443.8313923,0,2.9615948309270656e+22,8.391185354293352e+22,2.5177031231704748e+23,9.992487979855417e+19,5.3533953022193144e+16,5.547368337354506e+22,6.547233174400968e+19,3.480522219994233e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,3.475168824692014e+19,8.391185354293352e+22
12635675675.675676,2791.7503881718567,298504681.38617384,0,2.9615948309270656e+22,8.391185354293352e+22,2.5177736604600327e+23,9.991354278264362e+19,6.487096893273488e+16,5.546662964458927e+22,5.8407265772302926e+19,4.187028817164909e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,4.180541720271636e+19,8.391185354293352e+22
15794594594.594597,2789.687985214821,298411921.05969733,0,2.9615948309270656e+22,8.391185354293352e+22,2.5178365781268658e+23,9.9903430127071e+19,7.498362450534202e+16,5.546033787790596e+22,5.210538643342434e+19,4.817216751052767e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,4.809718388602234e+19,8.391185354293352e+22
18953513513.513515,2787.625582257785,298319163.27132136,0,2.9615948309270656e+22,8.391185354293352e+22,2.5178927008956048e+23,9.989440937078931e+19,8.400438078702842e+16,5.545472560103207e+22,4.648408880324608e+19,5.3793465140705935e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,5.370946075991892e+19,8.391185354293352e+22
22112432432.432434,2785.563179300749,298226408.4401346,0,2.9615948309270656e+22,8.391185354293352e+22,2.517942763891907e+23,9.98863624312321e+19,9.20513203442491e+16,5.544971930140185e+22,4.146974223346971e+19,5.880781171048231e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,5.871576039013807e+19,8.391185354293352e+22
25271351351.351353,2783.5007763437134,298133656.9849497,0,2.9615948309270656e+22,8.391185354293352e+22,2.5179874224445642e+23,9.987918403380045e+19,9.922971777588822e+16,5.5445253446136114e+22,3.699670857030601e+19,6.3280845373646004e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,6.318161565587012e+19,8.391185354293352e+22
28430270270.27027,2781.4383733866775,298040909.3242971,0,2.9615948309270656e+22,8.391185354293352e+22,2.518027260801425e+23,9.987278031487643e+19,1.0563343669991978e+17,5.544126961045004e+22,3.3006469165307695e+19,6.7271084778644324e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,6.716545134194441e+19,8.391185354293352e+22
