time_years,temperature_K,cold_trap_factor,olr_W_m2,H2_flux_m-2_s-1,crossover_mass_kg_per_particle,crossover_mass_amu,atomic_N_photolysis_fraction,N_drag_active,Ar36_drag_active,Rayleigh_active,water_kg,D_H,N_kg,Ar36_kg
0.0,2800.0,0.05000000065485749,280.0,5.5673989614193515e+20,1.125054613437601e-21,677523.3438746439,0.6096948773246815,1,1,1,2.8385836915292207e+22,0.00014693712050250685,2.35e+21,5000000000000000.0
100.10010010010011,2797.4219963037053,0.05000000067195924,280.0,5.539603717442918e+20,1.1247955609133585e-21,677367.3388857591,0.6086246225971262,1,1,1,2.838577701587167e+22,0.00014693715150902118,2.3448972766908425e+21,4999455789923264.0
200.20020020020021,2794.8439926074107,0.0500000006895076,280.0,5.51194724124531e+20,1.1245363292770593e-21,677211.2260331335,0.607556213953666,1,1,1,2.838571723624993e+22,0.00014693718245359426,2.3397943012301168e+21,4998908908782437.0
300.3003003003003,2792.265988911116,0.05000000070751424,280.0,5.484428840028275e+20,1.1242769182394753e-21,677055.0051425893,0.6064896479309433,1,1,1,2.83856575761874e+22,0.00014693721333634968,2.3346910990786342e+21,4998359343767713.0
400.40040040040043,2789.6879852148213,0.050000000725991124,280.0,5.4570478244523567e+20,1.1240173275106455e-21,676898.6760395085,0.6054249210696768,1,1,1,2.8385598035444955e+22,0.00014693724415741077,2.3295876956963757e+21,4997807082010874.0
500.50050050050055,2787.1099815185266,0.05000000074495054,280.0,5.429803508619628e+20,1.1237575567998708e-21,676742.2385488279,0.6043620299146379,1,1,1,2.8385538613783957e+22,0.00014693727491690067,2.3244841165421307e+21,4997252110585052.0
600.6006006006006,2784.531977822232,0.050000000764405084,280.0,5.4026952100565044e+20,1.1234976058157123e-21,676585.6924950392,0.6033009710146267,1,1,1,2.8385479310966243e+22,0.00014693730561494224,2.3193803870731384e+21,4996694416504495.0
700.7007007007007,2781.9539741259373,0.05000000078436769,280.0,5.375722249696656e+20,1.1232374742659888e-21,676429.0377021865,0.6022417409224471,1,1,1,2.8385420126754127e+22,0.0001469373362516581,2.3142765327447294e+21,4996133986724331.0
800.8008008008009,2779.3759704296426,0.05000000080485162,280.0,5.3488839518639876e+20,1.1229771618577747e-21,676272.2739938663,0.6011843361948833,1,1,1,2.8385361060910395e+22,0.00014693736682717056,2.3091725790099724e+21,4995570808140327.0
900.900900900901,2776.797966733348,0.05000000082587049,280.0,5.322179644255721e+20,1.1227166682973972e-21,676115.4011932246,0.6001287533926752,1,1,1,2.8385302113198312e+22,0.00014693739734160182,2.3040685513193195e+21,4995004867588655.0
1001.0010010010011,2774.2199630370533,0.05000000084743828,280.0,5.2956086579255476e+20,1.1224559932904324e-21,675958.4191229554,0.5990749890804937,1,1,1,2.8385243283381614e+22,0.00014693742779507373,2.2989644751202555e+21,4994436151845651.0
1101.1011011011012,2771.6419593407586,0.050000000869569315,280.0,5.269170327266875e+20,1.1221951365417046e-21,675801.3276052999,0.5980230398269163,1,1,1,2.8385184571224513e+22,0.00014693745818770794,2.2938603758569484e+21,4993864647627575.0
1201.2012012012012,2769.063955644464,0.05000000089227831,280.0,5.242863989996154e+20,1.1219340977552828e-21,675644.1264620442,0.5969729022044026,1,1,1,2.838512597649169e+22,0.00014693748851962585,2.2887562789699023e+21,4993290341590374.0
1301.3013013013015,2766.4859519481693,0.05000000091558035,280.0,5.216688987136281e+20,1.1216728766344775e-21,675486.815514518,0.595924572789269,1,1,1,2.838506749894829e+22,0.0001469375187909486,2.283652209895612e+21,4992713220329438.0
1401.4014014014015,2763.9079482518746,0.050000000939490925,280.0,5.190644663000103e+20,1.1214114728818385e-21,675329.3945835924,0.5948780481616643,1,1,1,2.8385009138359945e+22,0.0001469375490017971,2.27854819406622e+21,4992133270379361.0
1501.5015015015017,2761.32994455558,0.05000000096402594,280.0,5.164730365173982e+20,1.1211498861991536e-21,675171.8634896802,0.5938333249055447,1,1,1,2.8384950894492738e+22,0.00014693757915229205,2.273444256909174e+21,4991550478213699.0
1601.6016016016017,2758.7519408592852,0.05000000098920168,280.0,5.1389454445014555e+20,1.120888116287444e-21,675014.2220527322,0.5927903996086483,1,1,1,2.8384892767113226e+22,0.0001469376092425539,2.2683404238468898e+21,4990964830244727.0
1701.7017017017017,2756.1739371629906,0.0500000010150349,280.0,5.113289255066976e+20,1.1206261628469623e-21,674856.4700922365,0.59174926886247,1,1,1,2.838483475598844e+22,0.00014693763927270281,2.2632367202964126e+21,4990376312823197.0
1801.801801801802,2753.595933466696,0.05000000104154275,280.0,5.08776115417973e+20,1.1203640255771887e-21,674698.6074272157,0.5907099292622365,1,1,1,2.8384776860885863e+22,0.00014693766924285878,2.2581331716690826e+21,4989784912238093.0
