time_years,temperature_K,cold_trap_factor,olr_W_m2,H2_flux_m-2_s-1,crossover_mass_kg_per_particle,crossover_mass_amu,atomic_N_photolysis_fraction,N_drag_active,Ar36_drag_active,Rayleigh_active,water_kg,D_H,N_kg,Ar36_kg
0.0,2800.0,0.05000000065485749,280.0,5.5673989614193515e+20,1.125054613437601e-21,677523.3438746439,0.6096948773246815,1,1,1,3.746623376245471e+22,0.00014683499515490944,2.35e+21,5000000000000000.0
100.10010010010011,2797.4219963037053,0.05000000067195924,280.0,5.539603717442918e+20,1.1247955609133585e-21,677367.3388857591,0.6086246225971262,1,1,1,3.746617386303417e+22,0.0001468350186302844,2.3448972766908425e+21,4999455789923264.0
200.20020020020021,2794.8439926074107,0.0500000006895076,280.0,5.51194724124531e+20,1.1245363292770593e-21,677211.2260331335,0.607556213953666,1,1,1,3.7466114083412433e+22,0.0001468350420587498,2.3397943012301168e+21,4998908908782437.0
300.3003003003003,2792.265988911116,0.05000000070751424,280.0,5.484428840028275e+20,1.1242769182394753e-21,677055.0051425893,0.6064896479309433,1,1,1,3.74660544233499e+22,0.00014683506544039925,2.3346910990786342e+21,4998359343767713.0
400.40040040040043,2789.6879852148213,0.050000000725991124,280.0,5.4570478244523567e+20,1.1240173275106455e-21,676898.6760395085,0.6054249210696768,1,1,1,3.7465994882607458e+22,0.00014683508877532626,2.3295876956963757e+21,4997807082010874.0
500.50050050050055,2787.1099815185266,0.05000000074495054,280.0,5.429803508619628e+20,1.1237575567998708e-21,676742.2385488279,0.6043620299146379,1,1,1,3.746593546094646e+22,0.0001468351120636241,2.3244841165421307e+21,4997252110585052.0
600.6006006006006,2784.531977822232,0.050000000764405084,280.0,5.4026952100565044e+20,1.1234976058157123e-21,676585.6924950392,0.6033009710146267,1,1,1,3.7465876158128746e+22,0.00014683513530538587,2.3193803870731384e+21,4996694416504495.0
700.7007007007007,2781.9539741259373,0.05000000078436769,280.0,5.375722249696656e+20,1.1232374742659888e-21,676429.0377021865,0.6022417409224471,1,1,1,3.746581697391663e+22,0.00014683515850070448,2.3142765327447294e+21,4996133986724331.0
800.8008008008009,2779.3759704296426,0.05000000080485162,280.0,5.3488839518639876e+20,1.1229771618577747e-21,676272.2739938663,0.6011843361948833,1,1,1,3.74657579080729e+22,0.00014683518164967268,2.3091725790099724e+21,4995570808140327.0
900.900900900901,2776.797966733348,0.05000000082587049,280.0,5.322179644255721e+20,1.1227166682973972e-21,676115.4011932246,0.6001287533926752,1,1,1,3.7465698960360815e+22,0.00014683520475238294,2.3040685513193195e+21,4995004867588655.0
1001.0010010010011,2774.2199630370533,0.05000000084743828,280.0,5.2956086579255476e+20,1.1224559932904324e-21,675958.4191229554,0.5990749890804937,1,1,1,3.7465640130544117e+22,0.00014683522780892767,2.2989644751202555e+21,4994436151845651.0
1101.1011011011012,2771.6419593407586,0.050000000869569315,280.0,5.269170327266875e+20,1.1221951365417046e-21,675801.3276052999,0.5980230398269163,1,1,1,3.7465581418387016e+22,0.00014683525081939902,2.2938603758569484e+21,4993864647627575.0
1201.2012012012012,2769.063955644464,0.05000000089227831,280.0,5.242863989996154e+20,1.1219340977552828e-21,675644.1264620442,0.5969729022044026,1,1,1,3.746552282365419e+22,0.000146835273783889,2.2887562789699023e+21,4993290341590374.0
1301.3013013013015,2766.4859519481693,0.05000000091558035,280.0,5.216688987136281e+20,1.1216728766344775e-21,675486.815514518,0.595924572789269,1,1,1,3.7465464346110794e+22,0.00014683529670248943,2.283652209895612e+21,4992713220329438.0
1401.4014014014015,2763.9079482518746,0.050000000939490925,280.0,5.190644663000103e+20,1.1214114728818385e-21,675329.3945835924,0.5948780481616643,1,1,1,3.746540598552245e+22,0.00014683531957529187,2.27854819406622e+21,4992133270379361.0
1501.5015015015017,2761.32994455558,0.05000000096402594,280.0,5.164730365173982e+20,1.1211498861991536e-21,675171.8634896802,0.5938333249055447,1,1,1,3.746534774165524e+22,0.0001468353424023878,2.273444256909174e+21,4991550478213699.0
1601.6016016016017,2758.7519408592852,0.05000000098920168,280.0,5.1389454445014555e+20,1.120888116287444e-21,675014.2220527322,0.5927903996086483,1,1,1,3.746528961427573e+22,0.0001468353651838685,2.2683404238468898e+21,4990964830244727.0
1701.7017017017017,2756.1739371629906,0.0500000010150349,280.0,5.113289255066976e+20,1.1206261628469623e-21,674856.4700922365,0.59174926886247,1,1,1,3.746523160315094e+22,0.00014683538791982498,2.2632367202964126e+21,4990376312823197.0
1801.801801801802,2753.595933466696,0.05000000104154275,280.0,5.08776115417973e+20,1.1203640255771887e-21,674698.6074272157,0.5907099292622365,1,1,1,3.7465173708048366e+22,0.00014683541061034819,2.2581331716690826e+21,4989784912238093.0
1901.901901901902,2751.017929770401,0.05000000106874287,280.0,5.062360502357538e+20,1.1201017041768311e-21,674540.6338762278,0.5896723774068807,1,1,1,3.7465115928735957e+22,0.0001468354332555288,2.2530298033702023e+21,4989190614716388.0
2002.0020020020022,2748.4399260741066,0.05000000109665332,280.0,5.0370866633108364e+20,1.1198391983438204e-21,674382.5492573623,0.588636609899016,1,1,1,3.7465058264982135e+22,0.00014683545585545739,2.2479266407987054e+21,4988593406422799.0
2102.1021021021024,2745.861922377812,0.050000001125292654,280.0,5.011939003926738e+20,1.119576507775307e-21,674224.3533882393,0.5876026233449102,1,1,1,3.7465000716555784e+22,0.0001468354784102243,2.2428237093468286e+21,4987993273459543.0
2202.2022022022024,2743.283918681517,0.05000000115467992,280.0,4.986916894253169e+20,1.1193136321676602e-21,674066.0460860083,0.5865704143544609,1,1,1,3.7464943283226253e+22,0.00014683550091991964,2.2377210343997852e+21,4987390201866088.0
2302.3023023023025,2740.7059149852225,0.05000000118483463,280.0,4.9620197074830964e+20,1.1190505712164638e-21,673907.6271673455,0.5855399795411688,1,1,1,3.746488596476334e+22,0.00014683552338463348,2.2326186413354404e+21,4986784177618908.0
2402.4024024024025,2738.127911288928,0.05000000121577684,280.0,4.9372468199388204e+20,1.1187873246165138e-21,673749.0964484528,0.5845113155221116,1,1,1,3.746482876093732e+22,0.00014683554580445559,2.22751655552399e+21,4986175186631238.0
2502.5025025025025,2735.549907592633,0.05000000124752712,280.0,4.9125976110563505e+20,1.1185238920618162e-21,673590.4537450565,0.5834844189179182,1,1,1,3.7464771671518913e+22,0.00014683556817947564,2.22241480232764e+21,4985563214752824.0
2602.602602602603,2732.9719038963385,0.05000000128010656,280.0,4.888071463369865e+20,1.118260273245583e-21,673431.6988724048,0.5824592863527425,1,1,1,3.7464714696279307e+22,0.000146835590509783,2.2173134071002893e+21,4984948247769675.0
2702.702702702703,2730.393900200044,0.05000000131353682,280.0,4.863667762496241e+20,1.117996467860231e-21,673272.8316452666,0.5814359144542365,1,1,1,3.7464657834990144e+22,0.000146835612795467,2.2122123951872147e+21,4984330271403814.0
2802.802802802803,2727.815896503749,0.05000000134784012,280.0,4.839385897119661e+20,1.117732475597377e-21,673113.8518779294,0.5804142998535248,1,1,1,3.7464601087423524e+22,0.0001468356350366168,2.2071117919247577e+21,4983709271313031.0
2902.902902902903,2725.2378928074545,0.050000001383039255,280.0,4.815225258976304e+20,1.1174682961478368e-21,672954.7593841985,0.5793944391851766,1,1,1,3.7464544453352002e+22,0.00014683565723332123,2.202011622640013e+21,4983085233090630.0
3003.0030030030034,2722.65988911116,0.05000000141915762,280.0,4.791185242839108e+20,1.1172039292016216e-21,672795.5539773939,0.5783763290871805,1,1,1,3.7464487932548587e+22,0.0001468356793856691,2.1969119126505214e+21,4982458142265180.0
3103.1031031031034,2720.081885414865,0.05000000145621923,280.0,4.767265246502605e+20,1.116939374447935e-21,672636.23547035,0.5773599662009162,1,1,1,3.7464431524786744e+22,0.00014683570149374888,2.191812687263963e+21,4981827984300265.0
3203.2032032032034,2717.5038817185705,0.050000001494248714,280.0,4.7434646707678406e+20,1.1166746315751692e-21,672476.8036754123,0.576345347171129,1,1,1,3.7464375229840387e+22,0.00014683572355764904,2.186713971777853e+21,4981194744594230.0
3303.3033033033034,2714.925878022276,0.05000000153327134,280.0,4.71978291942736e+20,1.1164097002709047e-21,672317.2584044376,0.5753324686459007,1,1,1,3.746431904748389e+22,0.00014683574557745782,2.181615791479241e+21,4980558408479930.0
3403.4034034034034,2712.347874325981,0.05000000157331305,280.0,4.696219399250275e+20,1.1161445802219061e-21,672157.5994687909,0.5743213272766247,1,1,1,3.7464262977492068e+22,0.00014683576755326316,2.1765181716444115e+21,4979918961224480.0
3503.503503503504,2709.7698706296865,0.05000000161440046,280.0,4.672773519967404e+20,1.1158792711141172e-21,671997.8266793436,0.5733119197179769,1,1,1,3.7464207019640195e+22,0.00014683578948515298,2.1714211375385873e+21,4979276388028997.0
3603.603603603604,2707.191866933392,0.05000000165656088,280.0,4.649444694256484e+20,1.1156137726326613e-21,671837.9398464725,0.5723042426278888,1,1,1,3.7464151173703993e+22,0.00014683581137321495,2.1663247144156353e+21,4978630674028349.0
3703.703703703704,2704.613863237097,0.05000000169982232,280.0,4.6262323377274585e+20,1.1153480844618361e-21,671677.9387800571,0.5712982926675203,1,1,1,3.7464095439459627e+22,0.0001468358332175366,2.1612289275177746e+21,4977981804290902.0
3803.803803803804,2702.0358595408024,0.050000001744213554,280.0,4.603135868907839e+20,1.1150822062851125e-21,671517.8232894797,0.5702940665012306,1,1,1,3.7464039816683718e+22,0.0001468358550182053,2.1561338020752867e+21,4977329763818262.0
3903.9039039039044,2699.457855844508,0.05000000178976406,280.0,4.580154709228141e+20,1.1148161377851285e-21,671357.5931836201,0.5692915607965523,1,1,1,3.7463984305153325e+22,0.00014683587677530814,2.1510393633062285e+21,4976674537545023.0
4004.0040040040044,2696.879852148213,0.05000000183650414,280.0,4.5572882830073856e+20,1.114549878643691e-21,671197.2482708582,0.5682907722241611,1,1,1,3.7463928904645958e+22,0.00014683589848893213,2.1459456364161487e+21,4976016110338508.0
4104.104104104104,2694.3018484519184,0.050000001884464844,280.0,4.534536017438683e+20,1.1142834285417685e-21,671036.788359069,0.5672916974578499,1,1,1,3.7463873614939574e+22,0.00014683592015916411,2.140852646597804e+21,4975354466998515.0
4204.204204204205,2691.7238447556238,0.05000000193367805,280.0,4.511897342574882e+20,1.1140167871594892e-21,670876.2132556211,0.5662943331744988,1,1,1,3.7463818435812567e+22,0.0001468359417860907,2.1357604190308807e+21,4974689592257060.0
4304.304304304304,2689.145841059329,0.05000000198417647,280.0,4.489371691314295e+20,1.1137499541761398e-21,670715.5227673769,0.5652986760540473,1,1,1,3.746376336704378e+22,0.00014683596336979843,2.1306689788817173e+21,4974021470778118.0
4404.404404404405,2686.5678373630344,0.05000000203599367,280.0,4.466958499386486e+20,1.1134829292701615e-21,670554.7167006886,0.5643047227794655,1,1,1,3.7463708408412497e+22,0.00014683598491037353,2.1255783513030297e+21,4973350087157367.0
4504.504504504504,2683.9898336667397,0.05000000208916408,280.0,4.444657205338144e+20,1.1132157121191452e-21,670393.7948613976,0.5633124700367262,1,1,1,3.7463653559698444e+22,0.00014683600640790214,2.1204885614336389e+21,4972675425921929.0
4604.604604604605,2681.411829970445,0.050000002143723056,280.0,4.422467250519011e+20,1.1129483023998306e-21,670232.757054832,0.5623219145147748,1,1,1,3.7463598820681786e+22,0.0001468360278624702,2.1153996343982018e+21,4971997471530111.0
4704.704704704705,2678.8338262741504,0.05000000219970684,280.0,4.400388079067891e+20,1.112680699788102e-21,670071.6030858046,0.5613330529055011,1,1,1,3.7463544191143127e+22,0.00014683604927416354,2.110311595306944e+21,4971316208371146.0
4804.804804804805,2676.2558225778557,0.05000000225715266,280.0,4.378419137898728e+20,1.1124129039589867e-21,669910.3327586127,0.56034588190371,1,1,1,3.7463489670863512e+22,0.00014683607064306777,2.1052244692553957e+21,4970631620764933.0
4904.904904904905,2673.677818881561,0.05000000231609869,280.0,4.356559876686747e+20,1.1121449145866498e-21,669748.9458770339,0.559360398207092,1,1,1,3.7463435259624422e+22,0.0001468360919692683,2.100138281324129e+21,4969943692961777.0
5005.005005005005,2671.0998151852664,0.05000000237658411,280.0,4.334809747854669e+20,1.1118767313443922e-21,669587.4422443254,0.5583765985161941,1,1,1,3.746338095720778e+22,0.00014683611325285036,2.0950530565784994e+21,4969252409142129.0
5105.105105105105,2668.5218114889717,0.05000000243864912,280.0,4.313168206558996e+20,1.1116083539046478e-21,669425.8216632227,0.5573944795343899,1,1,1,3.7463326763395934e+22,0.0001468361344938992,2.0899688200683882e+21,4968557753416323.0
5205.205205205206,2665.943807792677,0.05000000250233497,280.0,4.291634710676363e+20,1.1113397819389801e-21,669264.0839359366,0.5564140379678497,1,1,1,3.7463272677971683e+22,0.00014683615569249957,2.0848855968279497e+21,4967859709824316.0
5305.305305305305,2663.3658040963824,0.050000002567683985,280.0,4.270208720789953e+20,1.1110710151180776e-21,669102.2288641512,0.5554352705255116,1,1,1,3.7463218700718248e+22,0.00014683617684873635,2.0798034118753588e+21,4967158262335425.0
5405.405405405406,2660.7878004000877,0.05000000263473961,280.0,4.2488897001759906e+20,1.1108020531117533e-21,668940.2562490234,0.55445817391905,1,1,1,3.7463164831419284e+22,0.00014683619796269408,2.0747222902125623e+21,4966453394848066.0
5505.505505505506,2658.209796703793,0.0500000027035464,280.0,4.2276771147902937e+20,1.1105328955889398e-21,668778.1658911799,0.5534827448628467,1,1,1,3.7463111069858888e+22,0.0001468362190344572,2.0696422568250326e+21,4965745091189489.0
5605.605605605606,2655.6317930074983,0.0500000027741501,280.0,4.206570433254897e+20,1.1102635422176861e-21,668615.9575907151,0.5525089800739598,1,1,1,3.746305741582158e+22,0.00014683624006411,2.064563336681525e+21,4965033335115515.0
5705.705705705706,2653.0537893112037,0.050000002846597634,280.0,4.185569126844738e+20,1.1099939926651546e-21,668453.6311471898,0.5515368762720931,1,1,1,3.7463003869092315e+22,0.0001468362610517365,2.0594855547338361e+21,4964318110310274.0
5805.805805805806,2650.475785614909,0.05000000292093714,280.0,4.1646726694744156e+20,1.109724246597619e-21,668291.1863596294,0.5505664301795664,1,1,1,3.7462950429456477e+22,0.0001468362819974207,2.0544089359165657e+21,4963599400385940.0
5905.905905905906,2647.8977819186143,0.050000002997218046,280.0,4.143880537685011e+20,1.1094543036804581e-21,668128.6230265204,0.5495976385212833,1,1,1,3.7462897096699882e+22,0.00014683630290124628,2.0493335051468816e+21,4962877188882464.0
6006.006006006007,2645.3197782223197,0.050000003075491045,280.0,4.123192210630973e+20,1.1091841635781558e-21,667965.9409458103,0.5486304980247015,1,1,1,3.7462843870608766e+22,0.0001468363237632969,2.044259287324287e+21,4962151459267313.0
6106.106106106106,2642.741774526025,0.05000000315580816,280.0,4.102607170067077e+20,1.1089138259542968e-21,667803.1399149053,0.5476650054198008,1,1,1,3.7462790750969803e+22,0.0001468363445836559,2.0391863073303906e+21,4961422194935201.0
